parent_bucket_id,child_bucket_id,course_code,notes
BCC_CORE,BCC_REQUIRED,ACCO 1030,
BCC_CORE,BCC_REQUIRED,ACCO 1031,
ACCO_MAJOR,acco-req-core,ACCO 3001,
AIM_CFA_TRACK,aim-cfa-req-core,ACCO 3001,
CB_TRACK,commbank-choose-2,ACCO 3001,
ACCO_MAJOR,acco-req-core,ACCO 4000,
ACCO_MAJOR,acco-req-core,ACCO 4010,
ACCO_MAJOR,acco-req-core,ACCO 4020,
CB_TRACK,commbank-choose-2,ACCO 4020,
ACCO_MAJOR,acco-req-core,ACCO 4030,
ACCO_MAJOR,acco-choose-2,ACCO 4040,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,ACCO 4040,
CB_TRACK,commbank-choose-1,ACCO 4040,
INBU_MAJOR,inbu-functional-choose-3,ACCO 4040,
ACCO_MAJOR,acco-choose-2,ACCO 4045,
INBU_MAJOR,inbu-functional-choose-3,ACCO 4045,
AIM_MAJOR,aim-choose-1,ACCO 4050,
ACCO_MAJOR,acco-choose-2,ACCO 4060,
BCC_CORE,BCC_ANALYTICS,ACCO 4060,
BUAN_MAJOR,buan-choose-1,ACCO 4060,
ACCO_MAJOR,acco-choose-2,ACCO 4080,
AIM_CFA_TRACK,aim-cfa-req-core,ACCO 4080,
AIM_IB_TRACK,aim-pcib-req-core,ACCO 4080,
AIM_MAJOR,aim-req-core,ACCO 4080,
FIN_MAJOR,choose-1,ACCO 4080,
CB_TRACK,commbank-choose-2,ACCO 4080,
REAL_MAJOR,real-choose-1,ACCO 4080,
ACCO_MAJOR,acco-choose-2,ACCO 4119,
ACCO_MAJOR,acco-req-core,ACCO 4170,
ACCO_MAJOR,acco-choose-2,ACCO 4931,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,ACCOI 4931,
INBU_MAJOR,inbu-exp-global-1,ACCOI 4931,
INBU_MAJOR,inbu-study-abroad-1,ACCOI 4931,
INBU_MAJOR,inbu-functional-choose-3,ADPR 4600,
AIM_CFA_TRACK,aim-cfa-req-core,AIM 4310,
AIM_IB_TRACK,aim-pcib-req-core,AIM 4310,
AIM_CFA_TRACK,aim-cfa-req-core,AIM 4320,
AIM_MAJOR,aim-choose-1,AIM 4320,
BCC_CORE,BCC_ANALYTICS,AIM 4320,
AIM_CFA_TRACK,aim-cfa-req-core,AIM 4330,
AIM_IB_TRACK,aim-pcib-req-core,AIM 4400,
AIM_MAJOR,aim-req-core,AIM 4400,
FIN_MAJOR,choose-1,AIM 4400,
AIM_FINTECH_TRACK,aim-fintech-req-core,AIM 4410,
AIM_FINTECH_TRACK,aim-fintech-req-core,AIM 4420,
BCC_CORE,BCC_ANALYTICS,AIM 4420,
AIM_FINTECH_TRACK,aim-fintech-req-core,AIM 4430,
AIM_MAJOR,aim-req-core,AIM 4440,
FIN_MAJOR,choose-1,AIM 4440,
AIM_CFA_TRACK,aim-cfa-req-core,AIM 4470,
AIM_FINTECH_TRACK,aim-fintech-req-core,AIM 4470,
AIM_IB_TRACK,aim-pcib-req-core,AIM 4470,
AIM_MAJOR,aim-req-core,AIM 4470,
BCC_CORE,BCC_ETHICS,AIM 4470,
AIM_MAJOR,aim-choose-1,AIM 4931,
AIM_MAJOR,aim-choose-1,AIM 4995,
AIM_CFA_TRACK,aim-cfa-req-core,AIM 4996,
AIM_FINTECH_TRACK,aim-fintech-req-core,AIM 4996,
AIM_IB_TRACK,aim-pcib-req-core,AIM 4996,
AIM_MAJOR,aim-req-core,AIM 4996,
MCC_FOUNDATION,MCC_ESSV1,ANTH 1001,
INBU_MAJOR,inbu-exp-global-1,ANTH 4316,
INBU_MAJOR,inbu-exp-global-1,ARBC 3200,
BCC_CORE,BCC_REQUIRED,BUAD 1001,
BCC_CORE,BCC_REQUIRED,BUAD 1560,
BCC_CORE,BCC_REQUIRED,BUAD 2001,
AIM_MAJOR,aim-choose-1,BUAN 3065,
BCC_CORE,BCC_ANALYTICS,BUAN 3065,
BUAN_MAJOR,buan-req-core,BUAN 3065,
BUAN_MAJOR,buan-req-core,BUAN 3066,
BUAN_MAJOR,buan-choose-1,BUAN 4060,
BUAN_MAJOR,buan-adv,BUAN 4061,
BCC_CORE,BCC_ETHICS,BULA 3001,
ACCO_MAJOR,acco-req-core,BULA 4001,
INBU_MAJOR,inbu-exp-global-1,CHNS 3200,
INBU_MAJOR,inbu-exp-global-1,CHNS 3700,
BCC_CORE,BCC_REQUIRED,CMST 2300,
HURE_LEAD_TRACK,buslead-choose-1,CMST 4250,
REAL_MAJOR,real-choose-1,CNEN 3810,
MCC_FOUNDATION,MCC_CORE,CORE 1929,
MCC_CULM,MCC_CULM,CORE 4929,
BCC_CORE,BCC_REQUIRED,ECON 1103,
BECO_MAJOR,beco-req-core,ECON 1103,
BCC_CORE,BCC_REQUIRED,ECON 1104,
BECO_MAJOR,beco-req-core,ECON 1104,
BECO_MAJOR,beco-econ-3000plus-9,ECON 3003,
BECO_MAJOR,beco-req-core,ECON 3003,
BECO_MAJOR,beco-econ-3000plus-9,ECON 3004,
BECO_MAJOR,beco-req-core,ECON 3004,
BECO_MAJOR,beco-econ-3000plus-9,ECON 3042,
INBU_MAJOR,inbu-functional-choose-3,ECON 3042,
BECO_MAJOR,beco-econ-3000plus-9,ECON 3399,
BECO_MAJOR,beco-econ-3000plus-9,ECON 3986,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4005,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4006,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4008,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4010,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4012,
REAL_MAJOR,real-choose-1,ECON 4012,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4016,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4020,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4022,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4025,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4030,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,ECON 4040,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4040,
CB_TRACK,commbank-choose-1,ECON 4040,
INBU_MAJOR,inbu-functional-choose-3,ECON 4040,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,ECON 4044,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4044,
CB_TRACK,commbank-choose-1,ECON 4044,
INBU_MAJOR,inbu-functional-choose-3,ECON 4044,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,ECON 4045,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4045,
INBU_MAJOR,inbu-functional-choose-3,ECON 4045,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,ECON 4046,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4046,
INBU_MAJOR,inbu-functional-choose-3,ECON 4046,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4047,
INBU_MAJOR,inbu-functional-choose-3,ECON 4047,
AIM_MAJOR,aim-choose-1,ECON 4060,
BCC_CORE,BCC_ANALYTICS,ECON 4060,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4060,
BECO_MAJOR,beco-req-core,ECON 4060,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4065,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4072,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,ECON 4080,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4080,
CB_TRACK,commbank-choose-2,ECON 4080,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4931,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4986,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4989,
BECO_MAJOR,beco-econ-3000plus-9,ECON 4995,
INBU_MAJOR,inbu-exp-global-1,ECONI 3040,
